I_No,J_No,ID_No,IDName
14,159,317,AC100002_ac
15,158,318,AC100003_ac
16,165,319,AC100004_ac
17,156,320,AC100005_ac
22,160,361,AC1000_ac
20,164,360,AC1001_ac
157,25,362,AC1002_ac
191,187,100,AC100_ac
191,31,101,AC101_ac
191,189,102,AC102_ac
183,185,103,AC103_ac
185,188,104,AC104_ac
178,179,105,AC105_ac
188,31,106,AC106_ac
179,187,107,AC107_ac
179,189,108,AC108_ac
191,192,109,AC109_ac
108,279,10,AC10_ac
161,162,110,AC110_ac
157,156,111,AC111_ac
154,13,112,AC112_ac
13,21,113,AC113_ac
13,164,114,AC114_ac
164,156,115,AC115_ac
13,160,116,AC116_ac
21,156,117,AC117_ac
21,160,118,AC118_ac
162,163,119,AC119_ac
111,157,11,AC11_ac
163,23,120,AC120_ac
140,136,121,AC121_ac
145,146,122,AC122_ac
145,159,123,AC123_ac
145,159,124,AC124_ac
144,158,125,AC125_ac
144,158,126,AC126_ac
145,140,127,AC127_ac
144,138,128,AC128_ac
144,134,129,AC129_ac
110,282,12,AC12_ac
144,139,130,AC130_ac
144,145,131,AC131_ac
138,135,132,AC132_ac
138,139,133,AC133_ac
136,137,134,AC134_ac
136,135,135,AC135_ac
141,146,136,AC136_ac
137,142,137,AC137_ac
137,141,138,AC138_ac
137,140,139,AC139_ac
113,115,13,AC13_ac
135,151,140,AC140_ac
135,139,141,AC141_ac
139,140,142,AC142_ac
135,8,143,AC143_ac
134,133,144,AC144_ac
133,153,145,AC145_ac
153,151,146,AC146_ac
151,5,147,AC147_ac
244,238,148,AC148_ac
150,152,149,AC149_ac
112,267,14,AC14_ac
227,240,150,AC150_ac
238,55,151,AC151_ac
238,237,152,AC152_ac
238,236,153,AC153_ac
238,52,154,AC154_ac
238,54,155,AC155_ac
236,235,156,AC156_ac
55,52,157,AC157_ac
237,51,158,AC158_ac
51,236,159,AC159_ac
186,254,15,AC15_ac
51,53,160,AC160_ac
236,52,161,AC161_ac
236,53,162,AC162_ac
52,54,163,AC163_ac
243,242,164,AC164_ac
243,241,165,AC165_ac
5,2,166,AC166_ac
2,149,167,AC167_ac
143,132,168,AC168_ac
143,147,169,AC169_ac
186,254,16,AC16_ac
148,149,170,AC170_ac
159,158,171,AC171_ac
165,155,172,AC172_ac
6,150,173,AC173_ac
141,140,174,AC174_ac
240,232,175,AC175_ac
240,239,176,AC176_ac
232,239,177,AC177_ac
232,221,178,AC178_ac
232,58,179,AC179_ac
117,118,17,AC17_ac
221,58,180,AC180_ac
221,241,181,AC181_ac
58,59,182,AC182_ac
59,242,183,AC183_ac
242,241,184,AC184_ac
242,226,185,AC185_ac
157,24,186,AC186_ac
19,164,187,AC187_ac
152,7,188,AC188_ac
266,268,189,AC189_ac
117,115,18,AC18_ac
266,272,190,AC190_ac
65,252,191,AC191_ac
275,282,192,AC192_ac
275,268,193,AC193_ac
244,267,194,AC194_ac
245,267,195,AC195_ac
274,273,196,AC196_ac
281,273,197,AC197_ac
273,265,198,AC198_ac
264,265,199,AC199_ac
118,115,19,AC19_ac
101,114,1,AC1_ac
85,268,321,AC200001_ac
86,275,322,AC200003_ac
87,268,323,AC200004_ac
89,268,324,AC200005_ac
90,274,325,AC200006_ac
91,274,326,AC200007_ac
92,220,328,AC200008_ac
93,220,329,AC200009_ac
94,281,330,AC200010_ac
95,281,331,AC200011_ac
96,260,332,AC200012_ac
97,260,333,AC200013_ac
280,281,200,AC200_ac
