,Bs_Name,故障前节点电压幅值,故障前节点电压相角,故障中节点电压幅值1,故障中节点电压相角1,故障中节点电压幅值2,故障中节点电压相角2,故障后节点电压幅值,故障后节点电压相角
0,Gen1A-1,1.0,358.92264,0.99885,358.89256,0.99987,358.77597,1.00191,358.87348
1,Gen1A-10,0.99974,349.65935,0.9969,349.30968,0.9885,348.53882,1.01139,349.30092
2,Gen1A-11,1.0,349.68644,0.99728,349.35165,0.98933,348.55904,1.01149,349.34083
3,Gen1A-2,1.0,357.97005,0.99866,357.91569,0.99899,357.75323,1.0031,357.88704
4,Gen1A-3,1.0,359.33597,0.99894,359.31703,1.00014,359.23123,1.00129,359.3041
5,Gen1A-4,1.0,49.99998,0.99912,49.99583,1.00099,49.93679,1.00035,49.86839
6,Gen1A-5,1.0,349.94507,0.99711,349.58776,0.98929,348.78262,1.01189,349.61472
7,Gen1A-6,0.99873,349.07845,0.99593,348.72732,0.98725,347.92763,1.01043,348.72719
8,Gen1A-7,1.0,359.47023,0.99893,359.45091,0.9997,359.34994,1.00027,359.44075
9,Gen1A-8,0.99758,353.21166,0.99574,353.06885,0.9922,352.70575,1.00362,353.02147
10,Gen1A-9,0.99611,354.01638,0.99433,353.88764,0.99139,353.55737,1.00157,353.84522
11,Gen1B-1,1.00984,10.37858,1.00855,10.41119,1.00838,13.80166,1.01219,6.96051
12,Gen1B-11,0.99999,7.02756,0.99848,7.02135,0.99573,9.63707,1.0068,4.17523
13,Gen1B-12,0.99778,6.4718,0.99618,6.45844,0.99249,9.05685,1.0047,3.6372
14,Gen1B-13,1.00873,9.93964,1.00734,9.97019,1.00696,13.43561,1.01089,6.46898
15,Gen1B-14,1.01203,10.20758,1.01054,10.23866,1.0098,13.84174,1.01336,6.64302
16,Gen1B-2,1.0082,9.40245,1.00693,9.42847,1.00639,12.59672,1.01148,6.14574
17,Gen1B-3,1.01278,14.30337,1.01182,14.35909,1.01292,18.03427,1.01237,10.69516
18,Gen1B-3-1,1.01278,14.30337,1.01182,14.35909,1.01292,18.03427,1.01237,10.69516
19,Gen1B-4,1.00976,10.24269,1.00843,10.27498,1.00824,13.70634,1.01198,6.79543
20,Gen1B-4-1,1.01738,9.32605,1.01607,9.3515,1.01538,12.55475,1.02065,6.04503
21,Gen1B-5,1.00709,9.03109,1.00547,9.05448,1.00434,12.64467,1.00908,5.47296
22,Gen1B-6,1.00616,8.66382,1.00444,8.68385,1.00286,12.30873,1.00785,5.08262
23,Gen1B-6-1,1.0065,8.94898,1.00484,8.97166,1.00368,12.60583,1.00852,5.35821
24,Gen1B-7,1.01203,10.20757,1.01054,10.23865,1.0098,13.84173,1.01336,6.64301
25,Gen2E-17,1.00083,358.47508,0.86693,356.7101,0.69185,10.50119,1.0846,354.96453
26,Gen2E-18,0.99988,358.55603,0.8903,357.10875,0.72171,8.6361,1.08748,356.29288
27,Gen2E-2,0.99958,358.89852,0.89942,357.56084,0.74141,7.59504,1.08191,358.05826
28,Gen2E-30,0.99954,358.06397,0.86786,356.34923,0.68989,9.98933,1.08287,354.62207
29,Gen2E-33,0.99956,357.34113,0.87788,355.66371,0.69764,7.89332,1.07991,354.62158
30,Gen2E-34,0.9996,358.89498,0.8991,357.55415,0.74234,7.5948,1.08327,358.02803
31,Gen2E-35,0.99738,357.34425,0.88648,355.77136,0.70981,6.75045,1.0771,355.39001
32,Gen2E-36,0.99783,357.35576,0.88147,355.72189,0.70189,7.45028,1.0799,354.83753
