select_0,select_1,select_2,select_3,select_4,select_5,select_6,select_7,select_8,select_9,select_10,select_11,select_12,select_13,select_14,select_15,select_16,label
1.184765339,-0.564062536,-2.886410952,2.628540039,0.956825376,-12.50469112,3.285366535,-1.843874574,-4.483206272,-6.051808357,2.052316666,-12.45916176,1.265084505,-8.481649399,-4.632215977,0.094757453,-4.839514256,16
1.173669338,2.802348852,-2.504941702,2.456142664,0.886707306,-12.3784132,3.288682222,-2.676419735,-5.081567764,-7.963938236,3.093325377,-12.32370758,1.256574988,-7.30694294,-4.759790421,0.075767934,-4.055452824,20
1.065729141,1.629339695,-1.860001087,2.533886671,0.998920679,-11.56574535,3.230781078,-2.524811745,-5.44092083,-7.151464939,2.801166058,-12.79081059,1.262919068,-7.853095531,-5.11537075,0.064081296,-4.707732201,67
1.045610905,-1.009404421,-2.952475548,2.425559521,0.876759529,-12.45887184,3.219687223,-2.090625763,-5.271473408,-6.328094006,2.765067339,-12.42036915,1.154097319,-8.787291527,-4.865886211,0.054400891,-5.160196781,17
1.11950767,0.094133109,-2.568406582,2.387905121,0.20600377,-12.7926445,3.236863375,-1.838375807,1.080008268,-6.829548836,3.080978394,-12.76742363,1.024556994,-8.043588638,-4.011263371,-2.039296865,-5.121957779,23
1.023798347,0.875025034,-2.534244537,2.411660433,0.877920806,-12.46220398,3.18585515,-1.965308666,-4.520162582,-6.724815845,2.886154652,-12.43069553,1.071734786,-8.307964325,-4.573099613,0.055159196,-4.669592857,10
1.024894118,-0.427814752,-2.626740932,2.099819422,-2.082619667,-12.66732788,3.180067301,-2.81923008,1.407742977,-7.367874622,3.039757013,-12.62581062,1.008323789,-8.019223213,-4.203429699,-0.115418643,-5.086315155,94
1.07210207,2.554811954,-2.503658772,2.144943237,-1.456969619,-12.64068317,3.209724665,-2.853148222,0.701010108,-9.641386032,3.434907913,-12.61333942,1.659661293,-7.741683483,-3.950099468,-0.099646628,-4.91119051,77
1.14218843,1.469988227,-2.645483494,2.533268452,1.322167873,-12.30828667,3.266175985,-2.561378717,-4.4207654,-6.67363739,2.210536718,-12.25636959,1.427625299,-7.93550396,-4.933031082,-1.16612041,-4.924160004,32
1.001939774,-0.466677576,-2.668548346,2.191267014,-0.342340469,-12.66122055,3.169788599,-2.325172901,0.800569952,-7.277867317,2.926891327,-12.63561058,1.054022789,-8.203826904,-4.226469517,-0.116801426,-4.939007282,83
1.043717384,2.113366127,-1.795169115,2.487252951,1.201514959,-12.55098724,3.212763071,-2.541369915,-5.284151554,-7.240114212,2.859202623,-12.51302052,1.236876965,-7.796638489,-5.135069847,-0.872843385,-4.766354561,39
1.165077686,2.778136492,-2.331462622,2.317641973,0.863617361,-12.47016335,3.294621944,-3.456846476,-3.162658215,-9.269170761,3.267826796,-12.42613983,1.512247682,-7.170374393,-4.968780994,0.058399171,-4.618895531,60
1.152734518,-1.166715384,-3.111982584,2.544806242,0.909364998,-12.57021332,3.265854597,-2.158948421,-5.797430038,-6.03948307,2.007279873,-12.52108669,1.335325122,-8.358785629,-4.815836906,0.078854904,-5.324328899,69
1.104820848,2.894242525,-2.352070093,2.24003911,0.375593454,-12.51693535,3.238652706,-2.902945995,-1.340098619,-8.992507935,3.213989019,-12.48281193,1.401777029,-7.468903542,-3.782646418,0.051817402,-4.476366997,56
1.16480279,-1.205567956,-3.284347057,2.52589345,0.908652961,-12.61638451,3.273995876,-2.293395519,-5.846911907,-5.670883656,2.006753922,-12.56001186,1.387854338,-8.361684799,-4.824844837,-0.78766495,-5.554920673,80
