 THE ISLANDS OF ALL BUS:
   BUSNAME         ISLAND
bus2E-12      1
bus2E-6      1
Gen2E-18      1
bus2E-7      1
bus2E-13      1
bus2E-11      1
bus2E-8      1
bus2E-4      1
bus2E-5      1
bus2E-1      1
bus2W-7      1
bus2W-4      1
bus2W-16      1
Gen2W-12      1
bus2W-17      1
bus2W-15      1
bus2W-14      1
Gen2W-11      1
bus2W-13      1
bus2W-9      1
bus2W-19      1
bus2W-20      1
bus2W-18      1
bus2W-22      1
bus2W-25      1
Gen2W-21      1
Gen2W-24      1
bus2W-27      1
bus2W-23      1
bus2W-28      1
LCC5ÀÕ∂À      1
bus2W-26      1
bus2E-26      1
bus2E-28      1
bus2E-20      1
bus2E-21      1
Gen2E-17      1
bus2E-27      1
bus2E-29      1
bus2E-22      1
bus2E-23      1
bus2E-31      1
bus2E-34      1
bus2E-36      1
bus2E-37      1
bus2E-35      1
Gen2E-33      1
bus2E-32      1
bus2E-25      1
bus2E-16      1
bus2E-15      1
bus2E-10      1
bus2E-3      1
bus2E-2      1
bus3L-24      1
bus3L-36      1
bus3L-11      1
bus3L-4      1
LCC7 ‹∂À      1
bus3L-1      1
bus3L-5      1
bus3L-12      1
bus3L-17      1
bus3L-13      1
Gen3L-6      1
Gen3L-2      1
Gen3L-7      1
Gen3L-8      1
bus3L-9      1
bus3L-14      1
bus3L-15      1
bus3L-16      1
Gen3L-10      1
Gen3L-3      1
bus3L-23      1
bus3L-19      1
Gen3L-22      1
Gen3L-21      1
Gen3L-20      1
Gen3L-18      1
bus3L-25      1
bus3L-26      1
Gen3L-27      1
Gen3L-30      1
bus3L-28      1
bus3L-31      1
bus3L-38      1
bus3L-32      1
bus3L-37      1
bus3L-46      1
bus3L-39      1
bus3L-45      1
bus3L-40      1
bus3L-48      1
bus3L-47      1
LCC2 ‹∂À      1
bus3L-56      1
LCC6 ‹∂À      1
bus31-55      1
bus3L-54      1
LCC3 ‹∂À      1
bus3L-53      1
bus3L-52      1
LCC5 ‹∂À      1
bus3L-51      1
bus3L-44      1
bus3L-50      1
bus3L-33      1
Gen3L-49      1
bus3L-41      1
bus3L-34      1
bus3L-35      1
bus3L-43      1
Gen3L-42      1
Gen3L-29      1
bus3D-28      1
LCC4 ‹∂À      1
Gen3D-29      1
bus3D-27      1
Gen3D-25      1
Gen3D-30      1
bus3D-24      1
Gen3D-23      1
bus3D-22      1
bus3D-14      1
Gen3D-26      1
bus3D-8      1
Gen3D-5      1
bus3D-9      1
bus3D-7      1
bus3D-1      1
bus3D-2      1
Gen3D-4      1
bus3D-3      1
bus3D-6      1
bus3D-15      1
Gen3D-15      1
bus3D-16      1
bus3D-10      1
Gen3D-10      1
bus3D-11      1
bus3D-17      1
Gen3D-17      1
bus3D-18      1
bus3D-19      1
bus3D-13      1
Gen3D-13      1
bus3D-20      1
bus3D-12      1
bus3D-21      1
Gen3D-20      1
Gen2E-2      1
bus2E-9      1
bus2E-14      1
bus2E-19      1
bus2E-24      1
Gen2E-30      1
bus2W-8      1
bus2W-10      1
bus2W-3      1
Gen2W-5      1
bus2W-2      1
Gen2W-1      1
Gen2W-6      1
bus-9001      1
LCC1ÀÕ∂À      1
bus-9006      1
bus-9007      1
bus-9003      1
LCC7ÀÕ∂À      1
bus-9038      1
bus-9037      1
bus-9036      1
bus-9035      1
bus-9034      1
bus-9033      1
bus-9032      1
bus-9031      1
bus-9004      1
LCC4ÀÕ∂À      1
bus-9043      1
bus-9042      1
bus-9041      1
bus-9072      1
bus-9071      1
Gen2E-5      1
Gen2E-7      1
bus1A-20      2
bus1A-11      2
bus1A-15      2
bus1A-16      2
bus1B-2      2
bus1A-21      2
bus1B-3      2
bus1A-22      2
bus1A-17      2
bus1A-18      2
bus1A-13      2
bus1A-14      2
bus1A-19      2
Gen1A-6      2
bus1A-12      2
LCC1 ‹∂À      2
Gen1A-5      2
bus1A-7      2
bus1A-9      2
Gen1A-2      2
bus1A-6      2
bus1A-4      2
Gen1A-3      2
bus1A-8      2
Gen1A-4      2
bus1A-5      2
bus1A-1      2
bus1A-2      2
bus1A-3      2
Gen1A-1      2
bus1A-10      2
bus1B-6      2
bus1B-7      2
bus1B-5      2
bus1B-4      2
Gen1B-2      2
Gen1B-4      2
Gen1B-1      2
bus1B-1      2
bus1B-8      2
bus1B-11      2
Gen1B-3      2
LCC2ÀÕ∂À      2
bus1B-12      2
Gen1B-5      2
LCC6ÀÕ∂À      2
Gen1B-6      2
bus1B-10      2
bus1B-9      2
LCC3ÀÕ∂À      2
 THE DEAD ISLANDS ARE:
 THE NO BALANCE ISLANDS ARE:
 THE AUTO BALANCES OF THE NO BALANCE ISLANDS:
 ISLAND        BUSNAME
 islanding time£∫           0 s           1  ms.
